Model Name	Latency
BERT_pytorch	18.472933
Background_Matting	-1
LearningToPaint	6060.305282
Super_SloMo	125.044339
alexnet	1.866142
basic_gnn_edgecnn	4.102073
basic_gnn_gcn	4.658435
basic_gnn_gin	1.368072
basic_gnn_sage	1.64432
cm3leon_generate	826.78914
dcgan	1.905546
demucs	238.087095
densenet121	121.608503
detectron2_fasterrcnn_r_101_c4	272.2146
detectron2_fasterrcnn_r_101_dc5	130.864873
detectron2_fasterrcnn_r_101_fpn	103.31959
detectron2_fasterrcnn_r_50_c4	254.96926
detectron2_fasterrcnn_r_50_dc5	109.418373
detectron2_fasterrcnn_r_50_fpn	78.212044
detectron2_fcos_r_50_fpn	78.169404
detectron2_maskrcnn	86.942107
detectron2_maskrcnn_r_101_c4	296.625053
detectron2_maskrcnn_r_101_fpn	113.848824
detectron2_maskrcnn_r_50_c4	272.790808
detectron2_maskrcnn_r_50_fpn	89.346638
dlrm	2.981152
doctr_det_predictor	52.505858
doctr_reco_predictor	6.702088
drq	1.9944
fastNLP_Bert	63.279469
functorch_dp_cifar10	2.44762
functorch_maml_omniglot	-1
hf_Albert	15.447432
hf_Bart	13.471927
hf_Bert	15.51052
hf_Bert_large	37.717972
hf_BigBird	197.536431
hf_DistilBert	8.66393
hf_GPT2	16.567535
hf_GPT2_large	78.404367
hf_Longformer	179.101429
hf_Reformer	22.757517
hf_Roberta_base	27.373964
hf_T5	27.561106
hf_T5_base	71.854511
hf_T5_generate	1463.578985
hf_T5_large	78.154819
hf_Whisper	6.082936
hf_clip	23.072536
hf_distil_whisper	41.115336
lennard_jones	0.997336
llama	7.547972
llama_v2_7b_16h	-1
maml	408.488816
maml_omniglot	-1
microbench_unbacked_tolist_sum	109.925598
mnasnet1_0	11.243312
mobilenet_v2	8.326159
mobilenet_v2_quantized_qat	-1
mobilenet_v3_large	11.130121
moco	-1
moondream	70.70118
nanogpt	217.595466
nvidia_deeprecommender	0.942576
opacus_cifar10	2.569843
phlippe_densenet	16.123155
phlippe_resnet	2.877943
pyhpc_equation_of_state	10.268085
pyhpc_isoneutral_mixing	27.247174
pyhpc_turbulent_kinetic_energy	19.173461
pytorch_CycleGAN_and_pix2pix	6.217129
pytorch_stargan	11.866698
pytorch_unet	95.580883
resnet152	67.726226
resnet18	3.116467
resnet50	18.695763
resnet50_quantized_qat	-1
resnext50_32x4d	10.86255
sam	690.762162
sam_fast	-1
shufflenet_v2_x1_0	12.777115
simple_gpt	-1
simple_gpt_tp_manual	-1
soft_actor_critic	-1
speech_transformer	4435.406076
squeezenet1_1	4.353643
stable_diffusion_text_encoder	-1
stable_diffusion_unet	-1
tacotron2	648.065479
timm_efficientdet	-1
timm_efficientnet	22.3719
timm_nfnet	54.592781
timm_regnet	36.193021
timm_resnest	8.961262
timm_vision_transformer	12.667922
timm_vision_transformer_large	87.408915
timm_vovnet	27.903005
torch_multimodal_clip	64.346383
tts_angular	9.102331
vgg16	2.741941
vision_maskrcnn	191.647465
yolov3	99.602791
